#Index    Time      Position      Velocity
1 0.1000 0.0000 1.0835 
2 0.2000 0.1084 1.5003 
3 0.3000 0.2584 1.5209 
4 0.4000 0.4105 1.7832 
5 0.5000 0.5888 0.5886 
6 0.6000 0.6476 -0.3009 
7 0.7000 0.6175 0.1853 
8 0.8000 0.6361 0.1959 
9 0.9000 0.6557 0.0226 
10 1.0000 0.6579 0.0802 
11 1.1000 0.6659 -0.7650 
12 1.2000 0.5894 0.1516 
13 1.3000 0.6046 1.3010 
14 1.4000 0.7347 1.9755 
15 1.5000 0.9323 2.0178 
16 1.6000 1.1340 0.5808 
17 1.7000 1.1921 1.2814 
18 1.8000 1.3203 0.8166 
19 1.9000 1.4019 -0.3847 
20 2.0000 1.3635 -2.0164 
21 2.1000 1.1618 -0.4326 
22 2.2000 1.1185 -1.1291 
23 2.3000 1.0056 -0.3940 
24 2.4000 0.9662 -0.2531 
25 2.5000 0.9409 0.2184 
26 2.6000 0.9628 0.4494 
27 2.7000 1.0077 -0.0872 
28 2.8000 0.9990 1.0665 
29 2.9000 1.1056 1.4844 
30 3.0000 1.2541 0.9468 
31 3.1000 1.3488 -0.1341 
32 3.2000 1.3354 -1.7478 
33 3.3000 1.1606 -0.9676 
34 3.4000 1.0638 -0.4929 
35 3.5000 1.0145 -1.0661 
36 3.6000 0.9079 -2.3000 
37 3.7000 0.6779 -3.9316 
38 3.8000 0.2847 -4.3858 
39 3.9000 -0.1538 -3.3234 
